method,dataset,seed,n_features_selected,n_features_total,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc_ovr,pr_auc_macro,train_time_s,infer_total_s,latency_ms_per_flow,fidelity
rfe,cicids2017,4,39,78,0.98846,0.6680400294802197,0.8427697670323837,0.6978738505143525,0.9889436113700167,0.6630986329328581,0.2427414185061431,18.725220441818237,1.5318374633789062,0.015318374633789062,
lasso,cicids2017,0,61,78,0.99109,0.6308823213007261,0.7382951443202083,0.65019467996354,0.9913046121363968,0.5446540396511804,0.1170485081836342,19.584810733795166,1.2730507850646973,0.012730507850646973,
lasso,cicids2017,1,68,78,0.99772,0.7873153845011278,0.8638596689481901,0.8104327795698569,0.9981042725082039,0.6009106837373317,0.1608425514293303,23.479018926620483,1.6406054496765137,0.016406054496765136,
lasso,cicids2017,2,57,78,0.99327,0.7791463699408552,0.818106507149402,0.7904119219810427,0.9958424635693439,0.6352743202225959,0.19823192296275322,22.075063228607178,1.9873828887939453,0.019873828887939454,
lasso,cicids2017,3,65,78,0.99811,0.8108436975781889,0.8467893869639024,0.822196828291877,0.9982256557811326,0.643196246045357,0.243144414707574,24.67237401008606,1.4118120670318604,0.014118120670318604,
lasso,cicids2017,4,68,78,0.99821,0.7963643624275453,0.8159122697001441,0.8026012945063277,0.9982308701408917,0.6321229250999802,0.24746615015362788,24.352677583694458,1.717245101928711,0.01717245101928711,
rf_imp,cicids2017,0,39,78,0.99093,0.6042943974424632,0.6502949181118934,0.6109796320353579,0.9916393771956369,0.6055134418995276,0.20355226942197854,19.61717963218689,1.4604382514953613,0.014604382514953614,
rf_imp,cicids2017,1,39,78,0.99219,0.6281440659058887,0.7620084808237124,0.6505095432647567,0.9929391048964856,0.5888937147964095,0.15764356493832882,18.46228837966919,1.0516767501831055,0.010516767501831054,
rf_imp,cicids2017,2,39,78,0.97935,0.4447800497149022,0.5249284320741654,0.4625758450456175,0.9819773055292135,0.6120422694080613,0.2117098297219555,19.621374368667603,1.722416639328003,0.01722416639328003,
rf_imp,cicids2017,3,39,78,0.99788,0.7541173177380442,0.8026536760798668,0.7655260382940333,0.9979634019058597,0.5070128659533949,0.0723982767596469,20.611008644104004,1.8003287315368652,0.01800328731536865,
rf_imp,cicids2017,4,39,78,0.99493,0.7123122095728245,0.8729289695626846,0.7457105804872709,0.9950730853453561,0.5238018963077212,0.08983335946540111,18.499924421310425,1.0811781883239746,0.010811781883239746,
boruta,cicids2017,0,64,78,0.99675,0.8475534386961296,0.8172506464489963,0.8252145069580173,0.9974671106200786,0.5896274998560155,0.1284960574772349,21.591628789901733,1.2684979438781738,0.012684979438781739,
boruta,cicids2017,1,64,78,0.99837,0.8318763821983953,0.8621848184508505,0.843691938001546,0.9984519942749365,0.6238464893544433,0.2115116101721304,21.8006010055542,1.3001985549926758,0.013001985549926758,
boruta,cicids2017,2,63,78,0.87462,0.3072032489949258,0.28575594239577917,0.2809613203174017,0.8850030414691809,0.6332513662475615,0.20944612566811746,22.765037536621094,1.7873315811157227,0.017873315811157225,
boruta,cicids2017,3,62,78,0.98788,0.771982005216537,0.807971857106738,0.7817681763303693,0.9915784089050003,0.5677405916720637,0.14226450148464925,22.46578025817871,1.4838275909423828,0.014838275909423828,
boruta,cicids2017,4,63,78,0.98305,0.5571521996662075,0.6954715045484832,0.5671846482433097,0.9862954498604806,0.7049809407586555,0.269859597723416,24.648602962493896,2.0185961723327637,0.020185961723327636,
